suite,run,model_size,resolution,condition,series,checkpoint,checkpoint_step,eval_type,metric,horizon,horizon_s,value,source_path
eval_b_scand_128_text_dense,nwm_cdit_b_recon_128_text_dense_0015000,B,128,Text,CDiT-B 128px Text,0015000,15000,time,fid,16s,16,181.33766174316406,artifacts/summaries/eval_scand_text/eval_b_scand_128_text_dense/nwm_cdit_b_recon_128_text_dense_0015000/scand_time.json
eval_b_scand_128_text_dense,nwm_cdit_b_recon_128_text_dense_0020000,B,128,Text,CDiT-B 128px Text,0020000,20000,time,lpips,1s,1,0.5076001286506653,artifacts/summaries/eval_scand_text/eval_b_scand_128_text_dense/nwm_cdit_b_recon_128_text_dense_0020000/scand_time.json
eval_b_scand_128_text_dense,nwm_cdit_b_recon_128_text_dense_0020000,B,128,Text,CDiT-B 128px Text,0020000,20000,time,dreamsim,1s,1,0.5543382167816162,artifacts/summaries/eval_scand_text/eval_b_scand_128_text_dense/nwm_cdit_b_recon_128_text_dense_0020000/scand_time.json
eval_b_scand_128_text_dense,nwm_cdit_b_recon_128_text_dense_0020000,B,128,Text,CDiT-B 128px Text,0020000,20000,time,lpips,2s,2,0.5317222476005554,artifacts/summaries/eval_scand_text/eval_b_scand_128_text_dense/nwm_cdit_b_recon_128_text_dense_0020000/scand_time.json
eval_b_scand_128_text_dense,nwm_cdit_b_recon_128_text_dense_0020000,B,128,Text,CDiT-B 128px Text,0020000,20000,time,dreamsim,2s,2,0.5659405589103699,artifacts/summaries/eval_scand_text/eval_b_scand_128_text_dense/nwm_cdit_b_recon_128_text_dense_0020000/scand_time.json
eval_b_scand_128_text_dense,nwm_cdit_b_recon_128_text_dense_0020000,B,128,Text,CDiT-B 128px Text,0020000,20000,time,lpips,4s,4,0.5614988803863525,artifacts/summaries/eval_scand_text/eval_b_scand_128_text_dense/nwm_cdit_b_recon_128_text_dense_0020000/scand_time.json
eval_b_scand_128_text_dense,nwm_cdit_b_recon_128_text_dense_0020000,B,128,Text,CDiT-B 128px Text,0020000,20000,time,dreamsim,4s,4,0.5798856616020203,artifacts/summaries/eval_scand_text/eval_b_scand_128_text_dense/nwm_cdit_b_recon_128_text_dense_0020000/scand_time.json
eval_b_scand_128_text_dense,nwm_cdit_b_recon_128_text_dense_0020000,B,128,Text,CDiT-B 128px Text,0020000,20000,time,lpips,8s,8,0.5920276641845703,artifacts/summaries/eval_scand_text/eval_b_scand_128_text_dense/nwm_cdit_b_recon_128_text_dense_0020000/scand_time.json
eval_b_scand_128_text_dense,nwm_cdit_b_recon_128_text_dense_0020000,B,128,Text,CDiT-B 128px Text,0020000,20000,time,dreamsim,8s,8,0.5985335111618042,artifacts/summaries/eval_scand_text/eval_b_scand_128_text_dense/nwm_cdit_b_recon_128_text_dense_0020000/scand_time.json
eval_b_scand_128_text_dense,nwm_cdit_b_recon_128_text_dense_0020000,B,128,Text,CDiT-B 128px Text,0020000,20000,time,lpips,16s,16,0.6129636168479919,artifacts/summaries/eval_scand_text/eval_b_scand_128_text_dense/nwm_cdit_b_recon_128_text_dense_0020000/scand_time.json
eval_b_scand_128_text_dense,nwm_cdit_b_recon_128_text_dense_0020000,B,128,Text,CDiT-B 128px Text,0020000,20000,time,dreamsim,16s,16,0.6192144155502319,artifacts/summaries/eval_scand_text/eval_b_scand_128_text_dense/nwm_cdit_b_recon_128_text_dense_0020000/scand_time.json
eval_b_scand_128_text_dense,nwm_cdit_b_recon_128_text_dense_0020000,B,128,Text,CDiT-B 128px Text,0020000,20000,time,fid,1s,1,177.77145385742188,artifacts/summaries/eval_scand_text/eval_b_scand_128_text_dense/nwm_cdit_b_recon_128_text_dense_0020000/scand_time.json
eval_b_scand_128_text_dense,nwm_cdit_b_recon_128_text_dense_0020000,B,128,Text,CDiT-B 128px Text,0020000,20000,time,fid,2s,2,181.23519897460938,artifacts/summaries/eval_scand_text/eval_b_scand_128_text_dense/nwm_cdit_b_recon_128_text_dense_0020000/scand_time.json
eval_b_scand_128_text_dense,nwm_cdit_b_recon_128_text_dense_0020000,B,128,Text,CDiT-B 128px Text,0020000,20000,time,fid,4s,4,181.1324462890625,artifacts/summaries/eval_scand_text/eval_b_scand_128_text_dense/nwm_cdit_b_recon_128_text_dense_0020000/scand_time.json
eval_b_scand_128_text_dense,nwm_cdit_b_recon_128_text_dense_0020000,B,128,Text,CDiT-B 128px Text,0020000,20000,time,fid,8s,8,177.85104370117188,artifacts/summaries/eval_scand_text/eval_b_scand_128_text_dense/nwm_cdit_b_recon_128_text_dense_0020000/scand_time.json
eval_b_scand_128_text_dense,nwm_cdit_b_recon_128_text_dense_0020000,B,128,Text,CDiT-B 128px Text,0020000,20000,time,fid,16s,16,187.21163940429688,artifacts/summaries/eval_scand_text/eval_b_scand_128_text_dense/nwm_cdit_b_recon_128_text_dense_0020000/scand_time.json
eval_b_scand_128_text_dense,nwm_cdit_b_recon_128_text_dense_0025000,B,128,Text,CDiT-B 128px Text,0025000,25000,time,lpips,1s,1,0.504319429397583,artifacts/summaries/eval_scand_text/eval_b_scand_128_text_dense/nwm_cdit_b_recon_128_text_dense_0025000/scand_time.json
eval_b_scand_128_text_dense,nwm_cdit_b_recon_128_text_dense_0025000,B,128,Text,CDiT-B 128px Text,0025000,25000,time,dreamsim,1s,1,0.5547857880592346,artifacts/summaries/eval_scand_text/eval_b_scand_128_text_dense/nwm_cdit_b_recon_128_text_dense_0025000/scand_time.json
eval_b_scand_128_text_dense,nwm_cdit_b_recon_128_text_dense_0025000,B,128,Text,CDiT-B 128px Text,0025000,25000,time,lpips,2s,2,0.5327235460281372,artifacts/summaries/eval_scand_text/eval_b_scand_128_text_dense/nwm_cdit_b_recon_128_text_dense_0025000/scand_time.json
eval_b_scand_128_text_dense,nwm_cdit_b_recon_128_text_dense_0025000,B,128,Text,CDiT-B 128px Text,0025000,25000,time,dreamsim,2s,2,0.567766547203064,artifacts/summaries/eval_scand_text/eval_b_scand_128_text_dense/nwm_cdit_b_recon_128_text_dense_0025000/scand_time.json
eval_b_scand_128_text_dense,nwm_cdit_b_recon_128_text_dense_0025000,B,128,Text,CDiT-B 128px Text,0025000,25000,time,lpips,4s,4,0.5620267987251282,artifacts/summaries/eval_scand_text/eval_b_scand_128_text_dense/nwm_cdit_b_recon_128_text_dense_0025000/scand_time.json
eval_b_scand_128_text_dense,nwm_cdit_b_recon_128_text_dense_0025000,B,128,Text,CDiT-B 128px Text,0025000,25000,time,dreamsim,4s,4,0.580718994140625,artifacts/summaries/eval_scand_text/eval_b_scand_128_text_dense/nwm_cdit_b_recon_128_text_dense_0025000/scand_time.json
eval_b_scand_128_text_dense,nwm_cdit_b_recon_128_text_dense_0025000,B,128,Text,CDiT-B 128px Text,0025000,25000,time,lpips,8s,8,0.589919924736023,artifacts/summaries/eval_scand_text/eval_b_scand_128_text_dense/nwm_cdit_b_recon_128_text_dense_0025000/scand_time.json
eval_b_scand_128_text_dense,nwm_cdit_b_recon_128_text_dense_0025000,B,128,Text,CDiT-B 128px Text,0025000,25000,time,dreamsim,8s,8,0.5953081846237183,artifacts/summaries/eval_scand_text/eval_b_scand_128_text_dense/nwm_cdit_b_recon_128_text_dense_0025000/scand_time.json
eval_b_scand_128_text_dense,nwm_cdit_b_recon_128_text_dense_0025000,B,128,Text,CDiT-B 128px Text,0025000,25000,time,lpips,16s,16,0.6111577153205872,artifacts/summaries/eval_scand_text/eval_b_scand_128_text_dense/nwm_cdit_b_recon_128_text_dense_0025000/scand_time.json
eval_b_scand_128_text_dense,nwm_cdit_b_recon_128_text_dense_0025000,B,128,Text,CDiT-B 128px Text,0025000,25000,time,dreamsim,16s,16,0.6188170313835144,artifacts/summaries/eval_scand_text/eval_b_scand_128_text_dense/nwm_cdit_b_recon_128_text_dense_0025000/scand_time.json
eval_b_scand_128_text_dense,nwm_cdit_b_recon_128_text_dense_0025000,B,128,Text,CDiT-B 128px Text,0025000,25000,time,fid,1s,1,181.91592407226562,artifacts/summaries/eval_scand_text/eval_b_scand_128_text_dense/nwm_cdit_b_recon_128_text_dense_0025000/scand_time.json
eval_b_scand_128_text_dense,nwm_cdit_b_recon_128_text_dense_0025000,B,128,Text,CDiT-B 128px Text,0025000,25000,time,fid,2s,2,186.46163940429688,artifacts/summaries/eval_scand_text/eval_b_scand_128_text_dense/nwm_cdit_b_recon_128_text_dense_0025000/scand_time.json
eval_b_scand_128_text_dense,nwm_cdit_b_recon_128_text_dense_0025000,B,128,Text,CDiT-B 128px Text,0025000,25000,time,fid,4s,4,185.37442016601562,artifacts/summaries/eval_scand_text/eval_b_scand_128_text_dense/nwm_cdit_b_recon_128_text_dense_0025000/scand_time.json
eval_b_scand_128_text_dense,nwm_cdit_b_recon_128_text_dense_0025000,B,128,Text,CDiT-B 128px Text,0025000,25000,time,fid,8s,8,184.8090362548828,artifacts/summaries/eval_scand_text/eval_b_scand_128_text_dense/nwm_cdit_b_recon_128_text_dense_0025000/scand_time.json
eval_b_scand_128_text_dense,nwm_cdit_b_recon_128_text_dense_0025000,B,128,Text,CDiT-B 128px Text,0025000,25000,time,fid,16s,16,188.25546264648438,artifacts/summaries/eval_scand_text/eval_b_scand_128_text_dense/nwm_cdit_b_recon_128_text_dense_0025000/scand_time.json
