suite,run,model_size,resolution,condition,series,checkpoint,checkpoint_step,eval_type,metric,horizon,horizon_s,value,source_path
eval_b_scand_128,nwm_cdit_b_recon_128_0015000,B,128,No Text,CDiT-B 128px No Text,0015000,15000,time,dreamsim,1s,1,0.5884540677070618,artifacts/summaries/eval_scand/eval_b_scand_128/nwm_cdit_b_recon_128_0015000/scand_time.json
eval_b_scand_128,nwm_cdit_b_recon_128_0015000,B,128,No Text,CDiT-B 128px No Text,0015000,15000,time,lpips,2s,2,0.5701045393943787,artifacts/summaries/eval_scand/eval_b_scand_128/nwm_cdit_b_recon_128_0015000/scand_time.json
eval_b_scand_128,nwm_cdit_b_recon_128_0015000,B,128,No Text,CDiT-B 128px No Text,0015000,15000,time,dreamsim,2s,2,0.593557596206665,artifacts/summaries/eval_scand/eval_b_scand_128/nwm_cdit_b_recon_128_0015000/scand_time.json
eval_b_scand_128,nwm_cdit_b_recon_128_0015000,B,128,No Text,CDiT-B 128px No Text,0015000,15000,time,lpips,4s,4,0.5858935713768005,artifacts/summaries/eval_scand/eval_b_scand_128/nwm_cdit_b_recon_128_0015000/scand_time.json
eval_b_scand_128,nwm_cdit_b_recon_128_0015000,B,128,No Text,CDiT-B 128px No Text,0015000,15000,time,dreamsim,4s,4,0.6023374199867249,artifacts/summaries/eval_scand/eval_b_scand_128/nwm_cdit_b_recon_128_0015000/scand_time.json
eval_b_scand_128,nwm_cdit_b_recon_128_0015000,B,128,No Text,CDiT-B 128px No Text,0015000,15000,time,lpips,8s,8,0.6024275422096252,artifacts/summaries/eval_scand/eval_b_scand_128/nwm_cdit_b_recon_128_0015000/scand_time.json
eval_b_scand_128,nwm_cdit_b_recon_128_0015000,B,128,No Text,CDiT-B 128px No Text,0015000,15000,time,dreamsim,8s,8,0.6160701513290405,artifacts/summaries/eval_scand/eval_b_scand_128/nwm_cdit_b_recon_128_0015000/scand_time.json
eval_b_scand_128,nwm_cdit_b_recon_128_0015000,B,128,No Text,CDiT-B 128px No Text,0015000,15000,time,lpips,16s,16,0.617103636264801,artifacts/summaries/eval_scand/eval_b_scand_128/nwm_cdit_b_recon_128_0015000/scand_time.json
eval_b_scand_128,nwm_cdit_b_recon_128_0015000,B,128,No Text,CDiT-B 128px No Text,0015000,15000,time,dreamsim,16s,16,0.6346619725227356,artifacts/summaries/eval_scand/eval_b_scand_128/nwm_cdit_b_recon_128_0015000/scand_time.json
eval_b_scand_128,nwm_cdit_b_recon_128_0015000,B,128,No Text,CDiT-B 128px No Text,0015000,15000,time,fid,1s,1,159.61978149414062,artifacts/summaries/eval_scand/eval_b_scand_128/nwm_cdit_b_recon_128_0015000/scand_time.json
eval_b_scand_128,nwm_cdit_b_recon_128_0015000,B,128,No Text,CDiT-B 128px No Text,0015000,15000,time,fid,2s,2,156.5623016357422,artifacts/summaries/eval_scand/eval_b_scand_128/nwm_cdit_b_recon_128_0015000/scand_time.json
