series,step,run_name,metric,horizon,value,source_path
128 No Text,20000,nwm_cdit_s_recon_128_0020000,lpips,4s,0.33860182762145996,artifacts/summaries/eval/eval_s_recon_128/nwm_cdit_s_recon_128_0020000/recon_time.json
128 No Text,20000,nwm_cdit_s_recon_128_0020000,lpips,8s,0.3744795620441437,artifacts/summaries/eval/eval_s_recon_128/nwm_cdit_s_recon_128_0020000/recon_time.json
128 No Text,20000,nwm_cdit_s_recon_128_0020000,lpips,16s,0.4313415586948395,artifacts/summaries/eval/eval_s_recon_128/nwm_cdit_s_recon_128_0020000/recon_time.json
128 No Text,25000,nwm_cdit_s_recon_128_0025000,dreamsim,1s,0.18387345969676971,artifacts/summaries/eval/eval_s_recon_128/nwm_cdit_s_recon_128_0025000/recon_time.json
128 No Text,25000,nwm_cdit_s_recon_128_0025000,dreamsim,2s,0.1966450810432434,artifacts/summaries/eval/eval_s_recon_128/nwm_cdit_s_recon_128_0025000/recon_time.json
128 No Text,25000,nwm_cdit_s_recon_128_0025000,dreamsim,4s,0.2080368995666504,artifacts/summaries/eval/eval_s_recon_128/nwm_cdit_s_recon_128_0025000/recon_time.json
128 No Text,25000,nwm_cdit_s_recon_128_0025000,dreamsim,8s,0.22702905535697937,artifacts/summaries/eval/eval_s_recon_128/nwm_cdit_s_recon_128_0025000/recon_time.json
128 No Text,25000,nwm_cdit_s_recon_128_0025000,dreamsim,16s,0.2741442620754242,artifacts/summaries/eval/eval_s_recon_128/nwm_cdit_s_recon_128_0025000/recon_time.json
128 No Text,25000,nwm_cdit_s_recon_128_0025000,fid,1s,33.539398193359375,artifacts/summaries/eval/eval_s_recon_128/nwm_cdit_s_recon_128_0025000/recon_time.json
128 No Text,25000,nwm_cdit_s_recon_128_0025000,fid,2s,33.880950927734375,artifacts/summaries/eval/eval_s_recon_128/nwm_cdit_s_recon_128_0025000/recon_time.json
128 No Text,25000,nwm_cdit_s_recon_128_0025000,fid,4s,33.331024169921875,artifacts/summaries/eval/eval_s_recon_128/nwm_cdit_s_recon_128_0025000/recon_time.json
128 No Text,25000,nwm_cdit_s_recon_128_0025000,fid,8s,33.88816833496094,artifacts/summaries/eval/eval_s_recon_128/nwm_cdit_s_recon_128_0025000/recon_time.json
128 No Text,25000,nwm_cdit_s_recon_128_0025000,fid,16s,38.316680908203125,artifacts/summaries/eval/eval_s_recon_128/nwm_cdit_s_recon_128_0025000/recon_time.json
128 No Text,25000,nwm_cdit_s_recon_128_0025000,lpips,1s,0.26501068472862244,artifacts/summaries/eval/eval_s_recon_128/nwm_cdit_s_recon_128_0025000/recon_time.json
128 No Text,25000,nwm_cdit_s_recon_128_0025000,lpips,2s,0.2928500771522522,artifacts/summaries/eval/eval_s_recon_128/nwm_cdit_s_recon_128_0025000/recon_time.json
128 No Text,25000,nwm_cdit_s_recon_128_0025000,lpips,4s,0.31822335720062256,artifacts/summaries/eval/eval_s_recon_128/nwm_cdit_s_recon_128_0025000/recon_time.json
128 No Text,25000,nwm_cdit_s_recon_128_0025000,lpips,8s,0.35265636444091797,artifacts/summaries/eval/eval_s_recon_128/nwm_cdit_s_recon_128_0025000/recon_time.json
128 No Text,25000,nwm_cdit_s_recon_128_0025000,lpips,16s,0.4144749641418457,artifacts/summaries/eval/eval_s_recon_128/nwm_cdit_s_recon_128_0025000/recon_time.json
128 No Text,30000,nwm_cdit_s_recon_128_0030000,dreamsim,1s,0.1804908663034439,artifacts/summaries/eval/eval_s_recon_128/nwm_cdit_s_recon_128_0030000/recon_time.json
128 No Text,30000,nwm_cdit_s_recon_128_0030000,dreamsim,2s,0.18460369110107422,artifacts/summaries/eval/eval_s_recon_128/nwm_cdit_s_recon_128_0030000/recon_time.json
128 No Text,30000,nwm_cdit_s_recon_128_0030000,dreamsim,4s,0.19891947507858276,artifacts/summaries/eval/eval_s_recon_128/nwm_cdit_s_recon_128_0030000/recon_time.json
128 No Text,30000,nwm_cdit_s_recon_128_0030000,dreamsim,8s,0.21681059896945953,artifacts/summaries/eval/eval_s_recon_128/nwm_cdit_s_recon_128_0030000/recon_time.json
128 No Text,30000,nwm_cdit_s_recon_128_0030000,dreamsim,16s,0.2632315456867218,artifacts/summaries/eval/eval_s_recon_128/nwm_cdit_s_recon_128_0030000/recon_time.json
128 No Text,30000,nwm_cdit_s_recon_128_0030000,fid,1s,32.882354736328125,artifacts/summaries/eval/eval_s_recon_128/nwm_cdit_s_recon_128_0030000/recon_time.json
128 No Text,30000,nwm_cdit_s_recon_128_0030000,fid,2s,32.18659973144531,artifacts/summaries/eval/eval_s_recon_128/nwm_cdit_s_recon_128_0030000/recon_time.json
128 No Text,30000,nwm_cdit_s_recon_128_0030000,fid,4s,33.02520751953125,artifacts/summaries/eval/eval_s_recon_128/nwm_cdit_s_recon_128_0030000/recon_time.json
128 No Text,30000,nwm_cdit_s_recon_128_0030000,fid,8s,32.34205627441406,artifacts/summaries/eval/eval_s_recon_128/nwm_cdit_s_recon_128_0030000/recon_time.json
128 No Text,30000,nwm_cdit_s_recon_128_0030000,fid,16s,38.088470458984375,artifacts/summaries/eval/eval_s_recon_128/nwm_cdit_s_recon_128_0030000/recon_time.json
128 No Text,30000,nwm_cdit_s_recon_128_0030000,lpips,1s,0.25452691316604614,artifacts/summaries/eval/eval_s_recon_128/nwm_cdit_s_recon_128_0030000/recon_time.json
128 No Text,30000,nwm_cdit_s_recon_128_0030000,lpips,2s,0.278521329164505,artifacts/summaries/eval/eval_s_recon_128/nwm_cdit_s_recon_128_0030000/recon_time.json
128 No Text,30000,nwm_cdit_s_recon_128_0030000,lpips,4s,0.30775272846221924,artifacts/summaries/eval/eval_s_recon_128/nwm_cdit_s_recon_128_0030000/recon_time.json
128 No Text,30000,nwm_cdit_s_recon_128_0030000,lpips,8s,0.3420048654079437,artifacts/summaries/eval/eval_s_recon_128/nwm_cdit_s_recon_128_0030000/recon_time.json
128 No Text,30000,nwm_cdit_s_recon_128_0030000,lpips,16s,0.40308988094329834,artifacts/summaries/eval/eval_s_recon_128/nwm_cdit_s_recon_128_0030000/recon_time.json
128 No Text,35000,nwm_cdit_s_recon_128_0035000,dreamsim,1s,0.17493681609630585,artifacts/summaries/eval/eval_s_recon_128/nwm_cdit_s_recon_128_0035000/recon_time.json
128 No Text,35000,nwm_cdit_s_recon_128_0035000,dreamsim,2s,0.18350572884082794,artifacts/summaries/eval/eval_s_recon_128/nwm_cdit_s_recon_128_0035000/recon_time.json
128 No Text,35000,nwm_cdit_s_recon_128_0035000,dreamsim,4s,0.19129279255867004,artifacts/summaries/eval/eval_s_recon_128/nwm_cdit_s_recon_128_0035000/recon_time.json
